id,name,authors,mood
1,The Hobbit  or There and Back Again,J.R.R. Tolkien,"['Happy', 'Surprised']"
2,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,"['Happy', 'Surprised', 'Sad']"
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,"['Happy', 'Surprised']"
4,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,"['Happy', 'Surprised', 'Neutral']"
5,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,"['Happy', 'Neutral']"
6,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,[]
7,The Lightning Thief (Percy Jackson and the Olympians  #1),Rick Riordan,[]
8,The Giver (The Giver  #1),Lois Lowry,[]
9,The Book Thief,Markus Zusak/Cao Xuân Việt Khương,[]
10,Little Women,Louisa May Alcott,[]
11,Jane Eyre,Charlotte Brontë/Michael Mason,[]
12,Memoirs of a Geisha,Arthur Golden,[]
13,Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,[]
14,Water for Elephants,Sara Gruen,[]
15,The Notebook (The Notebook  #1),Nicholas Sparks,[]
16,The Secret Life of Bees,Sue Monk Kidd,[]
17,Slaughterhouse-Five,Kurt Vonnegut Jr.,[]
18,Gone with the Wind,Margaret Mitchell,[]
19,My Sister's Keeper,Jodi Picoult,[]
20,The Shining,Stephen King,[]
21,The Glass Castle,Jeannette Walls,[]
22,The Secret Garden,Frances Hodgson Burnett,[]
23,The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,[]
24,The Princess Bride,William Goldman,[]
25,Outlander (Outlander  #1),Diana Gabaldon,[]
26,The Count of Monte Cristo,Alexandre Dumas/Robin Buss,[]
27,A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,[]
28,The Sea of Monsters (Percy Jackson and the Olympians  #2),Rick Riordan,[]
29,And Then There Were None,Agatha Christie,[]
30,Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,[]
31,The Poisonwood Bible,Barbara Kingsolver,[]
32,Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,[]
33,The Two Towers (The Lord of the Rings  #2),J.R.R. Tolkien/Peter S. Beagle,[]
34,Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl/Quentin Blake,[]
35,A Walk to Remember,Nicholas Sparks,[]
36,Emma,Jane Austen/Fiona Stafford,[]
37,Matilda,Roald Dahl/Quentin Blake,[]
38,The Firm,Robin Waterfield/John Grisham,[]
39,Middlesex,Jeffrey Eugenides,[]
40,Dear John,Nicholas Sparks,[]
41,Crime and Punishment,Fyodor Dostoyevsky/David McDuff,[]
42,The Red Tent,Anita Diamant,[]
43,Jurassic Park (Jurassic Park  #1),Michael Crichton,[]
44,The Color Purple,Alice Walker,[]
45,Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,[]
46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey/Jim Collins,[]
47,Misery,Stephen King,[]
48,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,[]
49,Coraline,Neil Gaiman/Dave McKean,[]
50,Fight Club,Chuck Palahniuk,[]
51,American Gods (American Gods  #1),Neil Gaiman,[]
52,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel/Martin Gardner,[]
53,World War Z: An Oral History of the Zombie War,Max Brooks,[]
54,Along Came a Spider (Alex Cross  #1),James Patterson,[]
55,The Bourne Identity (Jason Bourne  #1),Robert Ludlum,[]
56,The Client,John Grisham,[]
57,Alice in Wonderland,Lewis Carroll/Jane Carruth/Rene Cloke,[]
58,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,[]
59,Foundation (Foundation  #1),Isaac Asimov,[]
60,A Light in the Attic,Shel Silverstein,[]
61,A Tree Grows in Brooklyn,Betty  Smith,[]
62,Neverwhere (London Below  #1),Neil Gaiman,[]
63,The Pelican Brief,John Grisham,[]
64,Flowers for Algernon,Daniel Keyes,[]
65,James and the Giant Peach,Roald Dahl/Quentin Blake,[]
66,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,[]
67,Snow Flower and the Secret Fan,Lisa See,[]
68,Stardust,Neil Gaiman,[]
69,John Adams,David McCullough,[]
70,Man's Search for Meaning,Viktor E. Frankl/Harold S. Kushner/William J. Winslade/Isle Lasch,[]
71,Memoirs of a Geisha,Arthur Golden,[]
72,Goodnight Moon,Margaret Wise Brown/Clement Hurd,[]
73,Nineteen Minutes,Jodi Picoult,[]
74,1st to Die (Women's Murder Club  #1),James Patterson,[]
75,The Lorax,Dr. Seuss,[]
76,Dark Lover (Black Dagger Brotherhood  #1),J.R. Ward,[]
77,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,[]
78,The Unbearable Lightness of Being,Milan Kundera/Michael Henry Heim,[]
79,Norwegian Wood,Haruki Murakami/Jay Rubin,[]
80,A Short History of Nearly Everything,Bill Bryson,[]
81,The Pact,Jodi Picoult,[]
82,Mere Christianity,C.S. Lewis,[]
83,A Brief History of Time,Stephen Hawking,[]
84,The Color of Magic (Discworld  #1; Rincewind  #1),Terry Pratchett,[]
85,A Little Princess,Frances Hodgson Burnett/Nancy Bond,[]
86,I  Robot (Robot  #0.1),Isaac Asimov,[]
87,The Amber Spyglass  (His Dark Materials  #3),Philip Pullman,[]
88,Red Dragon (Hannibal Lecter  #1),Thomas  Harris,[]
89,V for Vendetta,Alan Moore/David   Lloyd,[]
90,The Secret History,Donna Tartt,[]
91,Where the Heart Is,Billie Letts,[]
92,Kafka on the Shore,Haruki Murakami/Philip Gabriel,[]
93,Dragonfly in Amber (Outlander  #2),Diana Gabaldon,[]
94,Peter Pan,J.M. Barrie/Michael Hague,[]
95,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,[]
96,The Green Mile,Stephen King,[]
97,Wizard's First Rule (Sword of Truth  #1),Terry Goodkind,[]
98,Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1),Art Spiegelman,[]
99,Little House in the Big Woods (Little House  #1),Laura Ingalls Wilder/Garth Williams,[]
100,Voyager (Outlander  #3),Diana Gabaldon,[]
101,Postmortem (Kay Scarpetta  #1),Patricia Daniels Cornwell/Patricia Cornwell,[]
102,The Brothers Karamazov,Fyodor Dostoyevsky/Fyodor Dostoevsky/Richard Pevear/Larissa Volokhonsky,[]
103,The Hound of the Baskervilles,Arthur Conan Doyle/Anne Perry/Sidney Paget,[]
104,Speaker for the Dead (Ender's Saga  #2),Orson Scott Card,[]
105,The Tale of Peter Rabbit,Beatrix Potter,[]
106,Snow Crash,Neal Stephenson/Guy Abadia,[]
107,The Angel Experiment (Maximum Ride  #1),James Patterson,[]
108,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,[]
109,The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,[]
110,The Dragon Reborn (The Wheel of Time  #3),Robert Jordan,[]
111,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,[]
112,The Complete Stories and Poems,Edgar Allan Poe,[]
113,Rebecca,Daphne du Maurier/Sally Beauman,[]
114,The Prince of Tides,Pat Conroy,[]
115,Death Note  Vol. 1: Boredom (Death Note  #1),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,[]
116,The Drawing of the Three (The Dark Tower  #2),Stephen King,[]
