id,name,mood
1,Toy Story (1995),"['Happy', 'Surprised', 'Neutral']"
2,GoldenEye (1995),"['Surprised', 'Neutral']"
3,Four Rooms (1995),"['Happy', 'Sad', 'Neutral']"
4,Get Shorty (1995),"['Happy', 'Sad', 'Neutral']"
5,Copycat (1995),"['Fearful', 'Sad', 'Disgusted']"
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"['Neutral', 'Surprised']"
7,Twelve Monkeys (1995),"['Disgusted', 'Fearful', 'Neutral']"
8,Babe (1995),"['Happy', 'Neutral', 'Sad']"
9,Dead Man Walking (1995),"['Neutral', 'Surprised']"
10,Richard III (1995),"['Neutral', 'Fearful']"
11,Seven (Se7en) (1995),"['Fearful', 'Neutral', 'Surprised']"
12,"Usual Suspects, The (1995)","['Surprised', 'Neutral']"
13,Mighty Aphrodite (1995),"['Happy', 'Sad', 'Neutral']"
14,"Postino, Il (1994)","['Happy', 'Neutral', 'Sad']"
15,Mr. Holland's Opus (1995),"['Sad', 'Neutral', 'Angry']"
16,French Twist (Gazon maudit) (1995),"['Surprised', 'Neutral']"
17,From Dusk Till Dawn (1996),"['Fearful', 'Surprised', 'Angry']"
18,"White Balloon, The (1995)","['Sad', 'Surprised', 'Neutral', 'Happy']"
19,Antonia's Line (1995),"['Neutral', 'Happy']"
20,Angels and Insects (1995),"['Neutral', 'Happy', 'Surprised']"
21,Muppet Treasure Island (1996),"['Happy', 'Sad', 'Surprised', 'Neutral']"
22,Braveheart (1995),"['Neutral', 'Surprised', 'Angry']"
23,Taxi Driver (1976),"['Surprised', 'Angry', 'Disgusted', 'Sad', 'Neutral']"
24,Rumble in the Bronx (1995),"['Happy', 'Sad', 'Neutral', 'Surprised']"
25,"Birdcage, The (1996)","['Happy', 'Neutral', 'Sad']"
26,"Brothers McMullen, The (1995)","['Neutral', 'Happy']"
27,Bad Boys (1995),"['Angry', 'Happy', 'Disgusted', 'Neutral']"
28,Apollo 13 (1995),"['Fearful', 'Happy', 'Neutral', 'Surprised']"
29,Batman Forever (1995),"['Disgusted', 'Happy', 'Neutral', 'Surprised']"
30,Belle de jour (1967),"['Sad', 'Neutral']"
31,Crimson Tide (1995),"['Fearful', 'Surprised', 'Disgusted', 'Neutral']"
32,Crumb (1994),"['Sad', 'Surprised', 'Neutral']"
33,Desperado (1995),"['Surprised', 'Sad', 'Neutral', 'Happy']"
34,"Doom Generation, The (1995)","['Fearful', 'Sad', 'Surprised', 'Angry']"
35,Free Willy 2: The Adventure Home (1995),"['Happy', 'Neutral', 'Sad']"
36,Mad Love (1995),"['Happy', 'Neutral', 'Sad', 'Angry']"
37,Nadja (1994),"['Fearful', 'Disgusted', 'Surprised']"
38,"Net, The (1995)","['Fearful', 'Surprised', 'Angry']"
39,Strange Days (1995),"['Surprised', 'Disgusted', 'Fearful']"
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","['Happy', 'Neutral', 'Sad', 'Disgusted', 'Surprised']"
41,Billy Madison (1995),"['Disgusted', 'Happy', 'Neutral', 'Sad']"
42,Clerks (1994),"['Happy', 'Neutral', 'Sad']"
43,Disclosure (1994),"['Disgusted', 'Fearful', 'Surprised']"
44,Dolores Claiborne (1994),"['Fearful', 'Neutral', 'Surprised']"
45,Eat Drink Man Woman (1994),"['Neutral', 'Surprised']"
46,Exotica (1994),"['Surprised', 'Neutral', 'Fearful']"
47,Ed Wood (1994),"['Happy', 'Neutral', 'Sad']"
48,Hoop Dreams (1994),"['Angry', 'Happy', 'Neutral', 'Sad']"
49,I.Q. (1994),"['Happy', 'Neutral', 'Sad', 'Disgusted']"
50,Star Wars (1977),"['Surprised', 'Happy', 'Neutral', 'Sad']"
51,Legends of the Fall (1994),"['Angry', 'Disgusted', 'Surprised', 'Happy', 'Neutral']"
52,"Madness of King George, The (1994)","['Angry', 'Disgusted', 'Neutral', 'Surprised']"
53,Natural Born Killers (1994),"['Angry', 'Disgusted', 'Fearful', 'Neutral']"
54,Outbreak (1995),"['Disgusted', 'Fearful', 'Neutral', 'Surprised']"
55,"Professional, The (1994)","['Neutral', 'Surprised', 'Fearful', 'Disgusted']"
56,Pulp Fiction (1994),"['Surprised', 'Neutral', 'Happy', 'Sad']"
57,Priest (1994),"['Angry', 'Sad', 'Neutral']"
58,Quiz Show (1994),"['Surprised', 'Angry', 'Disgusted', 'Neutral']"
59,Three Colors: Red (1994),"['Fearful', 'Surprised', 'Neutral']"
